"PlotID","geology"
1,13
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,2
15,10
16,2
17,2
18,2
19,10
20,7
21,10
22,7
23,7
24,7
25,7
26,7
27,7
28,10
29,10
30,10
31,7
32,7
33,7
34,7
35,7
36,10
37,7
38,10
39,7
40,7
41,10
42,7
43,7
44,7
45,7
46,7
47,7
48,7
49,7
50,13
51,4
52,3
53,4
54,4
55,4
56,4
57,3
58,4
59,4
60,4
61,3
62,3
63,4
64,6
65,4
66,3
67,3
68,4
69,4
70,4
71,7
72,4
73,4
74,4
75,4
76,4
77,4
78,3
79,4
80,2
81,4
82,4
83,4
84,2
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,7
94,4
95,7
96,7
97,2
98,4
99,4
100,4
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,6
123,6
124,6
125,3
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,3
136,6
137,6
138,7
139,7
140,3
141,13
142,10
143,13
144,12
145,12
146,12
147,12
148,12
149,12
150,12
151,12
152,12
153,12
154,12
155,12
156,12
157,12
158,12
159,12
160,12
161,12
162,12
163,12
164,12
165,12
166,12
167,12
168,12
169,12
170,12
171,12
172,12
173,13
174,12
175,12
176,12
177,5
178,12
179,12
180,12
181,3
182,4
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,10
194,14
195,14
196,14
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,4
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,12
219,10
221,1
222,13
223,14
224,10
225,2
226,4
227,3
228,4
229,13
230,14
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,2
258,2
259,2
260,2
261,2
262,2
263,2
264,2
265,2
266,2
267,1
268,1
269,1
270,1
271,1
272,2
273,2
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,2
282,14
283,2
285,13
286,9
287,14
288,13
289,1
290,1
291,7
292,2
293,2
294,12
295,13
296,13
297,13
299,12
300,13
301,7
302,4
303,7
304,14
305,4
306,6
307,3
308,14
309,3
310,7
311,3
312,7
313,3
314,13
315,5
316,7
317,7
318,9
319,13
320,13
321,4
322,5
323,3
324,1
325,1
326,2
327,14
328,7
329,7
330,6
331,7
332,5
333,6
334,4
335,8
336,3
337,14
338,13
339,14
340,10
341,14
342,13
343,10
344,13
345,12
346,2
347,10
348,9
349,8
350,10
351,9
352,6
353,6
354,9
355,3
356,2
357,7
358,10
359,13
360,9
361,7
362,6
363,2
364,10
365,10
366,3
367,5
368,5
369,3
370,7
371,1
372,10
373,4
374,13
375,9
376,13
377,12
378,12
379,1
380,3
381,1
382,1
383,6
384,3
385,2
386,3
387,2
388,6
389,10
390,7
391,10
392,3
393,7
394,6
395,7
396,5
397,7
398,6
399,2
400,4
402,4
403,2
404,5
405,4
406,6
407,10
408,5
409,14
410,1
411,9
412,3
413,10
414,3
415,6
416,2
417,3
418,7
419,10
420,2
421,5
422,3
423,4
424,6
425,2
426,4
427,6
428,4
429,5
430,2
431,2
432,2
433,5
434,3
435,7
436,9
437,10
438,13
439,10
440,13
441,3
442,12
443,2
450,4
451,2
452,6
453,4
454,14
455,3
456,13
457,13
458,3
459,12
460,12
461,13
462,14
463,2
464,13
467,5
468,13
469,1
470,3
471,3
472,4
473,3
474,2
475,4
476,4
477,1
478,2
480,12
481,3
482,4
483,6
484,2
485,2
486,10
487,2
488,7
489,5
490,1
491,4
492,2
493,3
494,4
495,3
496,2
497,10
498,1
499,2
500,3
501,2
503,7
504,1
505,3
506,7
507,9
508,2
509,4
510,7
512,7
513,4
514,7
515,10
516,3
517,6
518,6
520,13
521,12
522,13
523,12
524,13
525,12
526,3
527,3
528,5
529,6
530,5
531,7
532,9
534,5
535,13
536,13
537,13
538,13
539,13
540,13
541,13
542,7
543,7
544,7
545,7
546,7
547,7
548,9
549,7
550,4
551,5
552,5
553,13
554,13
555,13
556,13
557,13
558,13
559,13
560,13
561,13
562,13
563,9
564,13
565,13
566,13
567,9
568,9
569,13
